form_pipeline,xai_model,feature,form_type,incomplete,direction,rank,structure,total,parsed_rank,form
json,ebm,holiday,near-flat,,1.0,1.0,0.0,0.6667,9,near-flat
json,ebm,hr,categorical,,1.0,1.0,1.0,1.0,1,categorical
json,ebm,hum,non-monotonic,,1.0,1.0,1.0,1.0,5,non-monotonic
json,ebm,mnth,categorical,,1.0,1.0,1.0,1.0,4,categorical
json,ebm,temp,non-monotonic,,1.0,1.0,1.0,1.0,2,non-monotonic
json,ebm,weathersit,categorical,,1.0,1.0,1.0,1.0,6,categorical
json,ebm,weekday,near-flat,,0.5,1.0,0.0,0.5,7,near-flat
json,ebm,windspeed,near-flat,,1.0,1.0,0.0,0.6667,8,near-flat
json,ebm,yr,monotonic,,1.0,1.0,1.0,1.0,3,monotonic
json,xgb,holiday,near-flat,,1.0,1.0,0.0,0.6667,9,near-flat
json,xgb,hr,categorical,,1.0,1.0,1.0,1.0,1,categorical
json,xgb,hum,non-monotonic,,1.0,1.0,1.0,1.0,6,non-monotonic
json,xgb,mnth,categorical,,1.0,1.0,1.0,1.0,5,categorical
json,xgb,temp,non-monotonic,,1.0,1.0,1.0,1.0,3,non-monotonic
json,xgb,weathersit,categorical,,1.0,1.0,1.0,1.0,7,categorical
json,xgb,weekday,categorical,,1.0,1.0,0.5,0.8333,4,categorical
json,xgb,windspeed,near-flat,,0.5,1.0,1.0,0.8333,8,near-flat
json,xgb,yr,monotonic,,0.5,1.0,1.0,0.8333,2,monotonic
template,ebm,holiday,near-flat,,0.5,1.0,0.0,0.5,9,near-flat
template,ebm,hr,categorical,,1.0,1.0,0.5,0.8333,1,categorical
template,ebm,hum,non-monotonic,,1.0,1.0,1.0,1.0,5,non-monotonic
template,ebm,mnth,categorical,,1.0,1.0,1.0,1.0,4,categorical
template,ebm,temp,non-monotonic,,1.0,1.0,1.0,1.0,2,non-monotonic
template,ebm,weathersit,categorical,,1.0,1.0,1.0,1.0,6,categorical
template,ebm,weekday,near-flat,,0.5,1.0,0.0,0.5,7,near-flat
template,ebm,windspeed,near-flat,,0.5,1.0,0.0,0.5,8,near-flat
template,ebm,yr,monotonic,,0.5,1.0,1.0,0.8333,3,monotonic
template,xgb,holiday,near-flat,,0.5,1.0,0.0,0.5,9,near-flat
template,xgb,hr,categorical,,1.0,1.0,0.5,0.8333,1,categorical
template,xgb,hum,non-monotonic,,1.0,1.0,1.0,1.0,6,non-monotonic
template,xgb,mnth,categorical,,1.0,1.0,0.0,0.6667,5,categorical
template,xgb,temp,non-monotonic,,1.0,1.0,1.0,1.0,3,non-monotonic
template,xgb,weathersit,categorical,,1.0,1.0,1.0,1.0,7,categorical
template,xgb,weekday,categorical,,1.0,1.0,0.0,0.6667,4,categorical
template,xgb,windspeed,near-flat,,0.5,1.0,0.0,0.5,8,near-flat
template,xgb,yr,monotonic,,0.5,1.0,0.5,0.6667,2,monotonic
tooluse,ebm,holiday,near-flat,,1.0,1.0,0.0,0.6667,9,near-flat
tooluse,ebm,hr,categorical,,1.0,1.0,1.0,1.0,1,categorical
tooluse,ebm,hum,non-monotonic,,1.0,1.0,1.0,1.0,5,non-monotonic
tooluse,ebm,mnth,categorical,,1.0,1.0,1.0,1.0,4,categorical
tooluse,ebm,temp,non-monotonic,,1.0,1.0,1.0,1.0,2,non-monotonic
tooluse,ebm,weathersit,categorical,,1.0,1.0,1.0,1.0,6,categorical
tooluse,ebm,weekday,near-flat,,0.5,1.0,0.0,0.5,7,near-flat
tooluse,ebm,windspeed,near-flat,,0.5,1.0,1.0,0.8333,8,near-flat
tooluse,ebm,yr,monotonic,,1.0,1.0,1.0,1.0,3,monotonic
tooluse,xgb,holiday,near-flat,,1.0,1.0,1.0,1.0,9,near-flat
tooluse,xgb,hr,categorical,,1.0,1.0,1.0,1.0,1,categorical
tooluse,xgb,hum,non-monotonic,,1.0,1.0,1.0,1.0,6,non-monotonic
tooluse,xgb,mnth,categorical,,1.0,1.0,1.0,1.0,5,categorical
tooluse,xgb,temp,non-monotonic,,1.0,1.0,1.0,1.0,3,non-monotonic
tooluse,xgb,weathersit,categorical,,1.0,1.0,1.0,1.0,7,categorical
tooluse,xgb,weekday,categorical,,1.0,0.0,1.0,0.6667,1,categorical
tooluse,xgb,windspeed,near-flat,,1.0,1.0,0.0,0.6667,8,near-flat
tooluse,xgb,yr,monotonic,,1.0,0.5,1.0,0.8333,3,monotonic
vision,ebm,holiday,near-flat,,1.0,1.0,0.0,0.6667,9,near-flat
vision,ebm,hr,categorical,,1.0,1.0,1.0,1.0,1,categorical
vision,ebm,hum,non-monotonic,,1.0,1.0,1.0,1.0,5,non-monotonic
vision,ebm,mnth,categorical,,1.0,1.0,1.0,1.0,4,categorical
vision,ebm,temp,non-monotonic,,1.0,1.0,1.0,1.0,2,non-monotonic
vision,ebm,weathersit,categorical,,1.0,1.0,1.0,1.0,6,categorical
vision,ebm,weekday,near-flat,,0.5,1.0,0.0,0.5,7,near-flat
vision,ebm,windspeed,near-flat,,1.0,1.0,0.0,0.6667,8,near-flat
vision,ebm,yr,monotonic,,1.0,1.0,1.0,1.0,3,monotonic
vision,xgb,holiday,near-flat,,1.0,1.0,0.0,0.6667,9,near-flat
vision,xgb,hr,categorical,,1.0,1.0,1.0,1.0,1,categorical
vision,xgb,hum,non-monotonic,,1.0,1.0,1.0,1.0,6,non-monotonic
vision,xgb,mnth,categorical,,1.0,1.0,1.0,1.0,5,categorical
vision,xgb,temp,non-monotonic,,1.0,1.0,1.0,1.0,3,non-monotonic
vision,xgb,weathersit,categorical,,1.0,1.0,1.0,1.0,7,categorical
vision,xgb,weekday,categorical,,1.0,1.0,1.0,1.0,4,categorical
vision,xgb,windspeed,near-flat,,1.0,1.0,0.0,0.6667,8,near-flat
vision,xgb,yr,monotonic,,1.0,1.0,1.0,1.0,2,monotonic
